((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (age, (age, (45.4223135, 66.1218345>) -> (age, (45.4223135, 66.1218345>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (-inf, 9.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (10.95, inf)) -> (protime, (10.95, inf))))
((bili, (bili, (2.3499999999999996, 8.8>) -> (bili, (8.8, inf))) AND (protime, (protime, (-inf, 9.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (1.35, 1.75>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((albumin, (albumin, (3.0149999999999997, 3.725>) -> (albumin, (3.725, 3.8449999999999998>)) AND (protime, (protime, (-inf, 9.95>) -> (protime, (9.95, 10.95>)))
((albumin, (albumin, (4.140000000000001, 4.390000000000001>) -> (albumin, (3.725, 3.8449999999999998>)) AND (protime, (protime, (10.95, inf)) -> (protime, (9.95, 10.95>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (-inf, 9.95>) -> (protime, (10.95, inf))))
((bili, (bili, (2.3499999999999996, 8.8>) -> (bili, (8.8, inf))) AND (protime, (protime, (-inf, 9.95>) -> (protime, (10.95, inf))))
((bili, (bili, (2.3499999999999996, 8.8>) -> (bili, (8.8, inf))) AND (age, (age, (43.2402465, 45.4223135>) -> (age, (45.4223135, 66.1218345>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (1.35, 1.75>) -> (bili, (8.8, inf))) AND (protime, (protime, (10.95, inf)) -> (protime, (10.95, inf))))
((albumin, (albumin, (-inf, 3.0149999999999997>) -> (albumin, (3.725, 3.8449999999999998>)) AND (protime, (protime, (10.95, inf)) -> (protime, (9.95, 10.95>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((albumin, (albumin, (-inf, 3.0149999999999997>) -> (albumin, (3.725, 3.8449999999999998>)) AND (protime, (protime, (10.95, inf)) -> (protime, (9.95, 10.95>)))
((bili, (bili, (2.3499999999999996, 8.8>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.8, inf))) AND (protime, (protime, (9.95, 10.95>) -> (protime, (10.95, inf))))
