((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (25.0, 43.0>) -> (progrec, (-inf, 2.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (25.0, 43.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (3.5, 9.5>)) AND (estrec, (estrec, (5.5, 52.0>) -> (estrec, (0.5, 5.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (99.0, 103.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (2.5, 5.5>) -> (progrec, (-inf, 2.5>)))
((age, (age, (60.0, 64.5>) -> (age, (64.5, 65.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (99.0, 103.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (103.5, 576.5>)) AND (estrec, (estrec, (-inf, 0.5>) -> (estrec, (287.0, 605.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((age, (age, (77.0, inf)) -> (age, (42.5, 60.0>)) AND (estrec, (estrec, (52.0, 80.0>) -> (estrec, (0.5, 5.5>)))
((age, (age, (65.5, 72.5>) -> (age, (64.5, 65.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)))
((tsize, (tsize, (23.0, 57.5>) -> (tsize, (23.0, 57.5>)) AND (estrec, (estrec, (287.0, 605.0>) -> (estrec, (0.5, 5.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)) AND (progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
