((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (71.25, 72.25>) -> (cd4, (86.0, 370.0>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (78.25, 86.0>) -> (cd4, (-inf, 0.5>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (-inf, 2.5>)) AND (cd4, (cd4, (18.75, 23.25>) -> (cd4, (4.75, 7.75>)))
((sex, (sex, (1.5, inf)) -> (sex, (-inf, 1.5>)) AND (priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (2.25, 3.75>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((age, (age, (40.5, 43.5>) -> (age, (53.5, 56.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (-inf, 0.5>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (-inf, 2.5>)) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (4.75, 7.75>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (18.75, 23.25>) -> (cd4, (-inf, 0.5>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (11.75, 18.75>) -> (cd4, (86.0, 370.0>)))
((age, (age, (34.5, 40.5>) -> (age, (25.5, 28.5>)))
((age, (age, (43.5, 53.5>) -> (age, (53.5, 56.5>)))
((sex, (sex, (1.5, inf)) -> (sex, (1.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (0.5, inf))) AND (age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((age, (age, (34.5, 40.5>) -> (age, (53.5, 56.5>)))
((age, (age, (34.5, 40.5>) -> (age, (15.5, 23.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((age, (age, (28.5, 29.5>) -> (age, (53.5, 56.5>)))
((age, (age, (43.5, 53.5>) -> (age, (53.5, 56.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (86.0, 370.0>) -> (cd4, (86.0, 370.0>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (72.25, 78.25>) -> (cd4, (-inf, 0.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (-inf, 3.5>)) AND (ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (-inf, 2.5>)) AND (cd4, (cd4, (-inf, 0.5>) -> (cd4, (4.75, 7.75>)))
((cd4, (cd4, (72.25, 78.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (78.25, 86.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)))
((age, (age, (34.5, 40.5>) -> (age, (25.5, 28.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (31.5, 33.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((strat2, (strat2, (-inf, 0.5>) -> (strat2, (0.5, inf))) AND (age, (age, (25.5, 28.5>) -> (age, (25.5, 28.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
