((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)))
((age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (20.5, 21.5>) -> (progrec, (132.5, 252.0>)))
((age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (9.5, 15.0>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (19.5, 20.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (37.5, 40.0>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (132.5, 252.0>) -> (progrec, (132.5, 252.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (47.0, inf)) -> (tsize, (-inf, 19.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (19.5, 20.5>) -> (tsize, (32.5, 47.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (19.5, 20.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (19.5, 20.5>) -> (tsize, (-inf, 19.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (-inf, 19.5>)))
((pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)))
((age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (252.0, 827.0>) -> (progrec, (132.5, 252.0>)))
((age, (age, (34.5, 37.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)))
((age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (20.5, 21.5>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (32.5, 47.0>) -> (tsize, (32.5, 47.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (47.0, inf)) -> (tsize, (-inf, 19.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (47.0, inf)) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
