time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, 
72.0, 0.998344, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.993007, 1.000000, 1.000000, 1.000000, 0.994845, 1.000000, 0.994318, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.996063, 1.000000, 1.000000, 0.986111, 1.000000, 1.000000, 
98.0, 0.996689, 0.969697, 1.000000, 0.984127, 1.000000, 0.985075, 1.000000, 0.989796, 1.000000, 0.986014, 1.000000, 0.994286, 1.000000, 0.989691, 1.000000, 0.988636, 1.000000, 0.995327, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.994872, 1.000000, 0.992126, 1.000000, 1.000000, 0.986111, 1.000000, 0.976744, 
113.0, 0.995033, 0.969697, 1.000000, 0.984127, 1.000000, 0.985075, 1.000000, 0.989796, 1.000000, 0.979021, 1.000000, 0.988571, 1.000000, 0.984536, 1.000000, 0.982955, 1.000000, 0.990654, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.994872, 1.000000, 0.992126, 1.000000, 1.000000, 0.986111, 1.000000, 0.976744, 
114.0, 0.995033, 0.969697, 1.000000, 0.984127, 1.000000, 0.985075, 1.000000, 0.989796, 1.000000, 0.979021, 1.000000, 0.988571, 1.000000, 0.984536, 1.000000, 0.982955, 1.000000, 0.990654, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.994872, 1.000000, 0.992126, 1.000000, 1.000000, 0.986111, 1.000000, 0.976744, 
120.0, 0.993375, 0.939394, 1.000000, 0.968254, 1.000000, 0.970149, 1.000000, 0.979592, 1.000000, 0.972028, 1.000000, 0.982857, 1.000000, 0.979381, 1.000000, 0.977240, 1.000000, 0.985981, 1.000000, 0.992248, 1.000000, 0.992000, 1.000000, 0.989744, 1.000000, 0.988173, 1.000000, 1.000000, 0.986111, 1.000000, 0.976744, 
160.0, 0.991716, 0.909091, 1.000000, 0.952381, 1.000000, 0.955224, 1.000000, 0.969388, 1.000000, 0.965035, 1.000000, 0.977143, 1.000000, 0.974227, 1.000000, 0.971525, 1.000000, 0.981308, 1.000000, 0.984496, 1.000000, 0.984000, 1.000000, 0.984615, 1.000000, 0.984221, 1.000000, 1.000000, 0.986111, 1.000000, 0.953488, 
171.0, 0.990058, 0.909091, 1.000000, 0.936508, 1.000000, 0.955224, 1.000000, 0.969388, 1.000000, 0.965035, 1.000000, 0.971429, 1.000000, 0.969072, 1.000000, 0.971525, 1.000000, 0.976636, 1.000000, 0.984496, 1.000000, 0.984000, 0.994709, 0.984615, 0.994709, 0.984221, 0.995098, 1.000000, 0.986111, 1.000000, 0.930233, 
173.0, 0.988400, 0.909091, 1.000000, 0.936508, 1.000000, 0.955224, 1.000000, 0.969388, 1.000000, 0.958042, 1.000000, 0.965714, 1.000000, 0.963918, 1.000000, 0.965810, 1.000000, 0.976636, 1.000000, 0.984496, 1.000000, 0.984000, 0.994709, 0.984615, 0.994709, 0.984221, 0.990196, 1.000000, 0.986111, 1.000000, 0.930233, 
175.0, 0.986741, 0.909091, 1.000000, 0.936508, 1.000000, 0.955224, 1.000000, 0.959184, 1.000000, 0.951049, 1.000000, 0.960000, 1.000000, 0.958763, 1.000000, 0.960095, 1.000000, 0.971963, 1.000000, 0.976744, 1.000000, 0.976000, 0.994709, 0.979487, 0.994709, 0.980268, 0.990196, 1.000000, 0.986111, 1.000000, 0.930233, 
177.0, 0.983424, 0.909091, 1.000000, 0.936508, 1.000000, 0.940299, 1.000000, 0.948980, 1.000000, 0.944056, 1.000000, 0.954286, 1.000000, 0.953608, 1.000000, 0.954380, 1.000000, 0.962617, 1.000000, 0.968992, 1.000000, 0.968000, 0.989418, 0.974359, 0.989418, 0.976315, 0.985294, 0.996109, 0.972222, 1.000000, 0.930233, 
180.0, 0.981763, 0.909091, 1.000000, 0.920635, 1.000000, 0.925373, 1.000000, 0.938776, 1.000000, 0.937063, 1.000000, 0.948571, 1.000000, 0.948454, 1.000000, 0.948665, 1.000000, 0.957944, 1.000000, 0.961240, 1.000000, 0.959933, 0.989418, 0.969204, 0.989418, 0.972346, 0.985294, 0.996109, 0.958333, 1.000000, 0.906977, 
181.0, 0.980102, 0.909091, 1.000000, 0.920635, 1.000000, 0.925373, 1.000000, 0.928571, 1.000000, 0.930070, 1.000000, 0.942857, 1.000000, 0.943299, 1.000000, 0.942951, 1.000000, 0.953271, 1.000000, 0.953488, 1.000000, 0.951867, 0.989418, 0.964048, 0.989418, 0.968378, 0.985294, 0.996109, 0.958333, 1.000000, 0.906977, 
184.0, 0.978441, 0.909091, 1.000000, 0.920635, 1.000000, 0.910448, 1.000000, 0.918367, 1.000000, 0.923077, 1.000000, 0.937143, 1.000000, 0.938144, 1.000000, 0.937236, 1.000000, 0.953271, 1.000000, 0.945736, 1.000000, 0.943800, 0.989418, 0.958893, 0.989418, 0.964409, 0.985294, 0.996109, 0.944444, 1.000000, 0.906977, 
186.0, 0.978441, 0.909091, 1.000000, 0.920635, 1.000000, 0.910448, 1.000000, 0.918367, 1.000000, 0.923077, 1.000000, 0.937143, 1.000000, 0.938144, 1.000000, 0.937236, 1.000000, 0.953271, 1.000000, 0.945736, 1.000000, 0.943800, 0.989418, 0.958893, 0.989418, 0.964409, 0.985294, 0.996109, 0.944444, 1.000000, 0.906977, 
191.0, 0.976777, 0.909091, 1.000000, 0.920635, 1.000000, 0.910448, 0.995902, 0.918367, 0.995984, 0.923077, 0.996241, 0.937143, 0.996241, 0.938144, 1.000000, 0.937236, 0.996241, 0.953271, 0.996241, 0.945736, 1.000000, 0.943800, 0.989418, 0.958893, 0.989418, 0.960424, 0.985294, 0.996109, 0.944444, 1.000000, 0.906977, 
195.0, 0.975113, 0.909091, 1.000000, 0.904483, 1.000000, 0.895274, 0.995902, 0.908049, 0.995984, 0.916031, 0.996241, 0.931394, 0.996241, 0.932961, 1.000000, 0.931486, 0.996241, 0.948575, 0.996241, 0.937920, 1.000000, 0.943800, 0.989418, 0.953710, 0.989418, 0.956439, 0.985294, 0.996109, 0.944444, 1.000000, 0.883109, 
205.0, 0.973446, 0.909091, 0.994382, 0.904483, 0.994505, 0.895274, 0.995902, 0.908049, 0.995984, 0.916031, 0.992467, 0.931394, 0.992467, 0.932961, 0.996255, 0.931486, 0.992467, 0.948575, 0.992467, 0.937920, 1.000000, 0.943800, 0.989418, 0.953710, 0.989418, 0.956439, 0.985294, 0.992203, 0.944444, 0.995074, 0.883109, 
223.0, 0.971779, 0.909091, 0.994382, 0.904483, 0.994505, 0.895274, 0.995902, 0.908049, 0.995984, 0.916031, 0.992467, 0.931394, 0.992467, 0.932961, 0.996255, 0.931486, 0.992467, 0.948575, 0.992467, 0.937920, 1.000000, 0.935664, 0.989418, 0.948527, 0.989418, 0.952453, 0.985294, 0.992203, 0.944444, 0.995074, 0.883109, 
227.0, 0.970112, 0.878788, 0.994382, 0.888332, 0.994505, 0.880100, 0.995902, 0.897730, 0.995984, 0.908984, 0.992467, 0.925644, 0.992467, 0.927778, 0.996255, 0.925736, 0.992467, 0.943879, 0.992467, 0.930104, 1.000000, 0.927528, 0.989418, 0.943343, 0.989418, 0.948468, 0.985294, 0.992203, 0.930348, 0.995074, 0.883109, 
229.0, 0.970112, 0.878788, 0.994382, 0.888332, 0.994505, 0.880100, 0.995902, 0.897730, 0.995984, 0.908984, 0.992467, 0.925644, 0.992467, 0.927778, 0.996255, 0.925736, 0.992467, 0.943879, 0.992467, 0.930104, 1.000000, 0.927528, 0.989418, 0.943343, 0.989418, 0.948468, 0.985294, 0.992203, 0.930348, 0.995074, 0.883109, 
233.0, 0.968442, 0.878788, 0.994382, 0.888332, 0.994505, 0.880100, 0.995902, 0.887411, 0.995984, 0.901938, 0.992467, 0.919895, 0.992467, 0.922595, 0.996255, 0.919986, 0.992467, 0.939183, 0.992467, 0.922288, 1.000000, 0.927528, 0.989418, 0.938160, 0.989418, 0.944483, 0.985294, 0.992203, 0.916252, 0.995074, 0.883109, 
238.0, 0.966773, 0.878788, 0.994382, 0.888332, 0.994505, 0.864925, 0.995902, 0.877092, 0.995984, 0.894891, 0.992467, 0.914145, 0.992467, 0.917412, 0.996255, 0.914236, 0.992467, 0.934487, 0.992467, 0.914472, 1.000000, 0.919391, 0.989418, 0.932977, 0.989418, 0.940498, 0.985294, 0.992203, 0.902156, 0.995074, 0.883109, 
241.0, 0.965103, 0.878788, 0.994382, 0.888332, 0.994505, 0.864925, 0.995902, 0.877092, 0.995984, 0.887845, 0.992467, 0.908396, 0.992467, 0.912229, 0.996255, 0.908486, 0.992467, 0.929791, 0.992467, 0.914472, 1.000000, 0.919391, 0.989418, 0.932977, 0.989418, 0.940498, 0.985294, 0.992203, 0.902156, 0.995074, 0.883109, 
247.0, 0.963433, 0.878788, 0.994382, 0.888332, 0.994505, 0.864925, 0.995902, 0.877092, 0.995984, 0.887845, 0.988679, 0.908396, 0.988679, 0.912229, 0.992495, 0.908486, 0.988679, 0.929791, 0.988679, 0.914472, 1.000000, 0.919391, 0.989418, 0.932977, 0.989418, 0.936513, 0.985294, 0.992203, 0.902156, 0.995074, 0.883109, 
249.0, 0.961764, 0.878788, 0.994382, 0.888332, 0.994505, 0.849751, 0.995902, 0.866774, 0.995984, 0.880799, 0.988679, 0.902647, 0.988679, 0.907046, 0.992495, 0.902736, 0.988679, 0.925096, 0.988679, 0.906656, 1.000000, 0.911255, 0.989418, 0.927794, 0.989418, 0.932528, 0.985294, 0.992203, 0.888060, 0.995074, 0.883109, 
272.0, 0.958424, 0.848485, 0.994382, 0.872180, 0.994505, 0.834577, 0.995902, 0.856455, 0.995984, 0.873752, 0.988679, 0.891148, 0.988679, 0.896679, 0.992495, 0.896986, 0.988679, 0.915704, 0.988679, 0.898840, 1.000000, 0.903119, 0.989418, 0.922611, 0.989418, 0.928542, 0.985294, 0.988296, 0.888060, 0.995074, 0.859241, 
273.0, 0.958424, 0.848485, 0.994382, 0.872180, 0.994505, 0.834577, 0.995902, 0.856455, 0.995984, 0.873752, 0.988679, 0.891148, 0.988679, 0.896679, 0.992495, 0.896986, 0.988679, 0.915704, 0.988679, 0.898840, 1.000000, 0.903119, 0.989418, 0.922611, 0.989418, 0.928542, 0.985294, 0.988296, 0.888060, 0.995074, 0.859241, 
275.0, 0.956751, 0.848485, 0.994382, 0.872180, 0.994505, 0.834577, 0.995902, 0.846136, 0.995984, 0.866706, 0.988679, 0.885399, 0.988679, 0.891496, 0.992495, 0.891236, 0.988679, 0.911008, 0.988679, 0.891024, 1.000000, 0.894983, 0.989418, 0.917427, 0.989418, 0.924557, 0.985294, 0.988296, 0.873964, 0.995074, 0.859241, 
281.0, 0.953406, 0.818182, 0.994382, 0.856029, 0.994505, 0.804229, 0.995902, 0.825499, 0.995984, 0.852613, 0.988679, 0.873900, 0.988679, 0.881130, 0.992495, 0.879737, 0.988679, 0.901616, 0.988679, 0.883208, 1.000000, 0.894983, 0.989418, 0.912244, 0.989418, 0.916587, 0.985294, 0.988296, 0.873964, 0.995074, 0.859241, 
285.0, 0.950061, 0.818182, 0.988700, 0.856029, 0.988950, 0.804229, 0.995902, 0.825499, 0.995984, 0.852613, 0.984876, 0.873900, 0.984876, 0.875947, 0.988721, 0.879737, 0.984876, 0.896920, 0.984876, 0.883208, 1.000000, 0.894983, 0.989418, 0.912244, 0.989418, 0.916587, 0.980343, 0.988296, 0.873964, 0.995074, 0.859241, 
286.0, 0.948388, 0.787879, 0.988700, 0.839877, 0.988950, 0.804229, 0.995902, 0.815180, 0.995984, 0.845567, 0.984876, 0.868151, 0.984876, 0.870764, 0.988721, 0.873987, 0.984876, 0.892224, 0.984876, 0.875392, 1.000000, 0.894983, 0.989418, 0.907061, 0.989418, 0.912602, 0.980343, 0.988296, 0.859867, 0.995074, 0.859241, 
288.0, 0.946716, 0.787879, 0.988700, 0.839877, 0.988950, 0.804229, 0.995902, 0.815180, 0.995984, 0.838520, 0.984876, 0.862401, 0.984876, 0.865581, 0.988721, 0.868237, 0.984876, 0.887528, 0.984876, 0.875392, 1.000000, 0.894983, 0.989418, 0.907061, 0.989418, 0.912602, 0.980343, 0.984375, 0.859867, 0.995074, 0.859241, 
293.0, 0.945043, 0.787879, 0.988700, 0.839877, 0.988950, 0.789055, 0.995902, 0.804861, 0.995984, 0.831474, 0.984876, 0.856652, 0.984876, 0.860398, 0.988721, 0.862487, 0.984876, 0.887528, 0.984876, 0.867576, 1.000000, 0.886847, 0.989418, 0.901878, 0.989418, 0.908617, 0.980343, 0.984375, 0.845771, 0.995074, 0.859241, 
296.0, 0.945043, 0.787879, 0.988700, 0.839877, 0.988950, 0.789055, 0.995902, 0.804861, 0.995984, 0.831474, 0.984876, 0.856652, 0.984876, 0.860398, 0.988721, 0.862487, 0.984876, 0.887528, 0.984876, 0.867576, 1.000000, 0.886847, 0.989418, 0.901878, 0.989418, 0.908617, 0.980343, 0.984375, 0.845771, 0.995074, 0.859241, 
305.0, 0.943367, 0.787879, 0.988700, 0.839877, 0.988950, 0.773881, 0.995902, 0.794543, 0.995984, 0.824427, 0.984876, 0.850903, 0.984876, 0.855214, 0.988721, 0.856737, 0.984876, 0.882832, 0.984876, 0.867576, 1.000000, 0.886847, 0.989418, 0.901878, 0.989418, 0.904614, 0.980343, 0.984375, 0.845771, 0.995074, 0.859241, 
307.0, 0.941692, 0.787879, 0.988700, 0.839877, 0.988950, 0.758706, 0.995902, 0.784224, 0.995984, 0.817381, 0.984876, 0.845153, 0.984876, 0.850031, 0.988721, 0.850987, 0.984876, 0.878136, 0.984876, 0.867576, 1.000000, 0.886847, 0.989418, 0.896665, 0.989418, 0.900611, 0.980343, 0.984375, 0.845771, 0.995074, 0.859241, 
308.0, 0.938341, 0.787879, 0.988700, 0.839877, 0.988950, 0.758706, 0.991752, 0.773905, 0.991919, 0.810335, 0.981074, 0.839404, 0.981074, 0.844848, 0.984948, 0.845237, 0.981074, 0.873440, 0.981074, 0.859760, 1.000000, 0.870423, 0.989418, 0.886238, 0.989418, 0.892606, 0.980343, 0.984375, 0.831675, 0.995074, 0.859241, 
310.0, 0.938341, 0.787879, 0.988700, 0.839877, 0.988950, 0.758706, 0.991752, 0.773905, 0.991919, 0.810335, 0.981074, 0.839404, 0.981074, 0.844848, 0.984948, 0.845237, 0.981074, 0.873440, 0.981074, 0.859760, 1.000000, 0.870423, 0.989418, 0.886238, 0.989418, 0.892606, 0.980343, 0.984375, 0.831675, 0.995074, 0.859241, 
316.0, 0.936662, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.991752, 0.763586, 0.991919, 0.803288, 0.981074, 0.833615, 0.981074, 0.839633, 0.984948, 0.839487, 0.981074, 0.868719, 0.981074, 0.851944, 1.000000, 0.870423, 0.989418, 0.881025, 0.989418, 0.888603, 0.980343, 0.984375, 0.831675, 0.995074, 0.859241, 
319.0, 0.936662, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.991752, 0.763586, 0.991919, 0.803288, 0.981074, 0.833615, 0.981074, 0.839633, 0.984948, 0.839487, 0.981074, 0.868719, 0.981074, 0.851944, 1.000000, 0.870423, 0.989418, 0.881025, 0.989418, 0.888603, 0.980343, 0.984375, 0.831675, 0.995074, 0.859241, 
322.0, 0.936662, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.991752, 0.763586, 0.991919, 0.803288, 0.981074, 0.833615, 0.981074, 0.839633, 0.984948, 0.839487, 0.981074, 0.868719, 0.981074, 0.851944, 1.000000, 0.870423, 0.989418, 0.881025, 0.989418, 0.888603, 0.980343, 0.984375, 0.831675, 0.995074, 0.859241, 
329.0, 0.934977, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.763586, 0.987820, 0.803288, 0.977241, 0.833615, 0.977241, 0.839633, 0.981145, 0.839487, 0.977241, 0.868719, 0.977241, 0.851944, 1.000000, 0.870423, 0.989418, 0.875812, 0.989418, 0.884600, 0.980343, 0.984375, 0.831675, 0.990074, 0.859241, 
336.0, 0.933293, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.753268, 0.987820, 0.796242, 0.977241, 0.827826, 0.977241, 0.834418, 0.981145, 0.833737, 0.977241, 0.863998, 0.977241, 0.844128, 1.000000, 0.862212, 0.989418, 0.870599, 0.989418, 0.880598, 0.980343, 0.984375, 0.817579, 0.990074, 0.859241, 
338.0, 0.928239, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.742949, 0.987820, 0.789196, 0.977241, 0.822037, 0.977241, 0.823988, 0.981145, 0.822237, 0.977241, 0.854555, 0.977241, 0.836312, 1.000000, 0.854000, 0.989418, 0.865386, 0.989418, 0.876595, 0.980343, 0.984375, 0.817579, 0.990074, 0.859241, 
343.0, 0.926554, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.742949, 0.987820, 0.789196, 0.977241, 0.822037, 0.977241, 0.823988, 0.981145, 0.822237, 0.977241, 0.854555, 0.977241, 0.836312, 1.000000, 0.854000, 0.989418, 0.860172, 0.989418, 0.872592, 0.980343, 0.984375, 0.803483, 0.990074, 0.859241, 
344.0, 0.924869, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.742949, 0.987820, 0.789196, 0.977241, 0.822037, 0.977241, 0.823988, 0.981145, 0.816488, 0.977241, 0.854555, 0.977241, 0.828496, 1.000000, 0.854000, 0.989418, 0.860172, 0.989418, 0.868590, 0.980343, 0.984375, 0.789386, 0.990074, 0.859241, 
348.0, 0.923185, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.742949, 0.987820, 0.782149, 0.977241, 0.816248, 0.977241, 0.818773, 0.981145, 0.810738, 0.977241, 0.854555, 0.977241, 0.828496, 1.000000, 0.854000, 0.989418, 0.860172, 0.989418, 0.868590, 0.980343, 0.984375, 0.789386, 0.990074, 0.859241, 
350.0, 0.921500, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.987567, 0.742949, 0.987820, 0.782149, 0.977241, 0.816248, 0.977241, 0.818773, 0.981145, 0.810738, 0.977241, 0.854555, 0.977241, 0.828496, 1.000000, 0.845789, 0.989418, 0.854959, 0.989418, 0.864587, 0.980343, 0.984375, 0.789386, 0.990074, 0.859241, 
353.0, 0.919816, 0.787879, 0.988700, 0.839877, 0.988950, 0.743532, 0.983383, 0.742949, 0.983721, 0.782149, 0.973409, 0.816248, 0.973409, 0.818773, 0.977342, 0.810738, 0.973409, 0.854555, 0.973409, 0.828496, 1.000000, 0.845789, 0.989418, 0.854959, 0.989418, 0.864587, 0.980343, 0.984375, 0.789386, 0.985073, 0.859241, 
357.0, 0.918131, 0.757576, 0.988700, 0.823726, 0.988950, 0.728358, 0.983383, 0.732630, 0.983721, 0.775103, 0.973409, 0.810459, 0.973409, 0.813558, 0.977342, 0.804988, 0.973409, 0.849834, 0.973409, 0.828496, 1.000000, 0.845789, 0.989418, 0.849746, 0.989418, 0.860584, 0.980343, 0.984375, 0.789386, 0.985073, 0.835373, 
358.0, 0.916446, 0.757576, 0.988700, 0.823726, 0.988950, 0.713184, 0.983383, 0.722311, 0.983721, 0.768056, 0.973409, 0.804670, 0.973409, 0.808342, 0.977342, 0.799238, 0.973409, 0.845113, 0.973409, 0.820680, 1.000000, 0.837577, 0.989418, 0.844533, 0.989418, 0.856581, 0.980343, 0.984375, 0.789386, 0.985073, 0.835373, 
359.0, 0.913077, 0.727273, 0.988700, 0.807574, 0.988950, 0.698010, 0.983383, 0.711993, 0.983721, 0.761010, 0.973409, 0.798881, 0.973409, 0.803127, 0.977342, 0.793488, 0.973409, 0.840391, 0.973409, 0.805048, 1.000000, 0.821154, 0.989418, 0.834107, 0.989418, 0.848576, 0.980343, 0.984375, 0.775290, 0.985073, 0.811506, 
360.0, 0.911392, 0.696970, 0.988700, 0.791423, 0.988950, 0.682836, 0.983383, 0.701674, 0.983721, 0.753964, 0.973409, 0.793092, 0.973409, 0.803127, 0.977342, 0.787738, 0.973409, 0.835670, 0.973409, 0.797232, 1.000000, 0.821154, 0.989418, 0.834107, 0.989418, 0.844573, 0.980343, 0.984375, 0.761194, 0.985073, 0.811506, 
369.0, 0.909708, 0.696970, 0.988700, 0.791423, 0.988950, 0.682836, 0.983383, 0.701674, 0.983721, 0.753964, 0.973409, 0.793092, 0.973409, 0.803127, 0.973539, 0.787738, 0.973409, 0.835670, 0.973409, 0.789416, 1.000000, 0.821154, 0.989418, 0.834107, 0.989418, 0.840570, 0.980343, 0.984375, 0.761194, 0.980073, 0.811506, 
370.0, 0.906338, 0.696970, 0.988700, 0.791423, 0.988950, 0.682836, 0.983383, 0.701674, 0.983721, 0.753964, 0.973409, 0.793092, 0.973409, 0.803127, 0.973539, 0.776238, 0.973409, 0.826227, 0.973409, 0.781600, 1.000000, 0.812943, 0.989418, 0.823680, 0.989418, 0.832565, 0.980343, 0.984375, 0.747098, 0.980073, 0.811506, 
371.0, 0.904654, 0.696970, 0.982952, 0.791423, 0.983331, 0.682836, 0.983383, 0.701674, 0.983721, 0.753964, 0.969577, 0.793092, 0.969577, 0.803127, 0.969736, 0.776238, 0.969577, 0.826227, 0.969577, 0.781600, 1.000000, 0.812943, 0.989418, 0.823680, 0.989418, 0.832565, 0.975315, 0.984375, 0.747098, 0.975072, 0.811506, 
372.0, 0.902969, 0.696970, 0.982952, 0.791423, 0.983331, 0.682836, 0.979198, 0.701674, 0.979622, 0.753964, 0.965744, 0.793092, 0.965744, 0.803127, 0.969736, 0.776238, 0.965744, 0.826227, 0.965744, 0.781600, 1.000000, 0.812943, 0.989418, 0.823680, 0.989418, 0.832565, 0.975315, 0.984375, 0.747098, 0.975072, 0.811506, 
374.0, 0.901284, 0.696970, 0.982952, 0.791423, 0.983331, 0.682836, 0.979198, 0.701674, 0.979622, 0.753964, 0.965744, 0.793092, 0.965744, 0.803127, 0.969736, 0.776238, 0.965744, 0.821506, 0.965744, 0.781600, 0.994186, 0.812943, 0.989418, 0.823680, 0.989418, 0.832565, 0.975315, 0.980405, 0.747098, 0.975072, 0.811506, 
375.0, 0.899600, 0.696970, 0.982952, 0.791423, 0.983331, 0.682836, 0.979198, 0.691355, 0.979622, 0.746917, 0.965744, 0.787303, 0.965744, 0.797912, 0.969736, 0.770488, 0.965744, 0.816785, 0.965744, 0.773784, 0.994186, 0.804731, 0.989418, 0.818467, 0.989418, 0.828562, 0.975315, 0.980405, 0.733002, 0.975072, 0.811506, 
