((bmi, (bmi, (26.53304, 26.75475>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (83.5, 85.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (118.5, inf)) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (35.26913999999999, 39.794835>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (81.0, 83.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (49.0, 59.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (85.5, 96.0>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (35.26913999999999, 39.794835>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (39.794835, 43.8024>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (87.0, 94.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (83.5, 85.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (-inf, 18.822625000000002>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (83.5, 85.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (81.0, 83.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (80.5, 81.0>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (49.0, 59.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (85.5, 96.0>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (81.0, 83.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (118.5, inf)) -> (diasbp, (59.5, 86.5>)))
((age, (age, (72.5, 73.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (49.0, 59.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
