((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (2.5, inf))) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-1.363636, 1.7272729999999998>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (2.5, inf))))
((stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (2.5, inf))) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-1.363636, 1.7272729999999998>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (2.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
