((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (4.03, 4.390000000000001>) -> (albumin, (-inf, 3.0149999999999997>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
((albumin, (albumin, (3.29, 3.315>) -> (albumin, (3.725, 3.8449999999999998>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.8449999999999998, 4.03>) -> (albumin, (-inf, 3.0149999999999997>)))
((bili, (bili, (1.35, 1.85>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.725, 3.8449999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
((albumin, (albumin, (3.5949999999999998, 3.725>) -> (albumin, (3.725, 3.8449999999999998>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.725, 3.8449999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
((albumin, (albumin, (3.5949999999999998, 3.725>) -> (albumin, (4.03, 4.390000000000001>)))
((albumin, (albumin, (3.725, 3.8449999999999998>) -> (albumin, (4.03, 4.390000000000001>)))
((albumin, (albumin, (3.8449999999999998, 4.03>) -> (albumin, (4.03, 4.390000000000001>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.5949999999999998, 3.725>) -> (albumin, (-inf, 3.0149999999999997>)))
((bili, (bili, (1.35, 1.85>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
((albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (3.8449999999999998, 4.03>)))
((albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (3.725, 3.8449999999999998>)))
((albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (3.725, 3.8449999999999998>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.16, 3.29>) -> (albumin, (-inf, 3.0149999999999997>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.315, 3.5949999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
((bili, (bili, (0.35, 1.35>) -> (bili, (6.199999999999999, inf))) AND (albumin, (albumin, (3.725, 3.8449999999999998>) -> (albumin, (-inf, 3.0149999999999997>)))
