((albumin, (albumin, (-inf, 3.1550000000000002>) -> (albumin, (4.04, 4.390000000000001>)))
((bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (1.75, 2.25>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)))
