((protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((albumin, (albumin, (3.16, 3.3049999999999997>) -> (albumin, (4.04, 4.390000000000001>)))
((age, (age, (45.4223135, 64.609172>) -> (age, (45.4223135, 64.609172>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((age, (age, (45.4223135, 64.609172>) -> (age, (45.4223135, 64.609172>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.95, 2.25>) -> (bili, (8.95, inf))))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (-inf, 9.850000000000001>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.850000000000001, 9.95>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (8.95, inf))))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (1.95, 2.25>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)) AND (bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)))
