((OpSet2, (OpSet2, (0.84135, inf)) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((OpSet2, (OpSet2, (0.84135, inf)) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((SensorMeasure2, (SensorMeasure2, (604.52, inf)) -> (SensorMeasure2, (-inf, 549.435>)) AND (SensorMeasure7, (SensorMeasure7, (395.28, inf)) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure3, (SensorMeasure3, (1496.675, 1597.1799999999998>) -> (SensorMeasure3, (-inf, 1347.63>)))
((OpSet2, (OpSet2, (0.84135, inf)) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((OpSet2, (OpSet2, (0.84135, inf)) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1496.675, 1597.1799999999998>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
((SensorMeasure7, (SensorMeasure7, (175.10500000000002, 336.645>) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (-inf, 1347.63>)))
((SensorMeasure2, (SensorMeasure2, (604.52, inf)) -> (SensorMeasure2, (-inf, 549.435>)) AND (SensorMeasure7, (SensorMeasure7, (395.28, inf)) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure3, (SensorMeasure3, (1496.675, 1597.1799999999998>) -> (SensorMeasure3, (-inf, 1347.63>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)))
