((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
((IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))) AND (ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))) AND (IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))) AND (IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (0.5, inf)) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (-inf, 0.1277775>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (12.0, 33.5>)))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))) AND (ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (37.5, 43.5>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (0.836111, inf))) AND (ND2, (ND2, (0.007411500000000015, 0.361679>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (-inf, 8.2>)))
((FRAC, (FRAC, (0.7694445, 0.836111>) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))))
((FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)))
