((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (7.5, 14.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (210.0, 406.5>) -> (progrec, (0.5, 9.0>)))
((pnodes, (pnodes, (1.5, 3.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (24.5, 31.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (19.5, 20.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (40.5, 41.0>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (210.0, 406.5>) -> (progrec, (0.5, 9.0>)))
((tsize, (tsize, (20.5, 49.5>) -> (tsize, (59.0, inf))))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (19.5, 20.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (1.5, 3.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (31.5, 32.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (59.0, inf)) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (41.5, 53.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (14.5, 19.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (131.5, 305.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (1.5, 3.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (31.5, 32.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (131.5, 305.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (59.0, inf)) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (81.5, 131.5>) -> (estrec, (1.0, 3.5>)))
((estrec, (estrec, (81.5, 131.5>) -> (estrec, (1.0, 3.5>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (427.0, 1545.0>) -> (progrec, (0.5, 9.0>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (210.0, 406.5>) -> (progrec, (0.5, 9.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (41.5, 53.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (36.5, 37.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (11.0, 41.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (14.5, 19.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (14.5, 19.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (41.5, 53.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (210.0, 406.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (39.5, 40.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (41.0, 42.0>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (49.5, 55.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (11.0, 41.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (59.0, inf)) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (131.5, 305.5>) -> (estrec, (1.0, 3.5>)))
