((yschool, (yschool, (12.5, inf)) -> (yschool, (-inf, 9.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (-inf, 1.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (0.5, inf)) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (2.5, 4.0>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (4.5, 12.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (2.5, inf))))
((yschool, (yschool, (9.5, 11.5>) -> (yschool, (-inf, 9.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (-inf, 1.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (-inf, 9.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (-inf, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (12.5, inf)) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((condom, (condom, (-inf, 1.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (12.5, inf)) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (0.5, inf))))
((yschool, (yschool, (12.5, inf)) -> (yschool, (-inf, 9.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (-inf, 1.5>)))
((yschool, (yschool, (11.5, 12.5>) -> (yschool, (-inf, 9.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (-inf, 1.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (0.5, inf)) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (0.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (12.5, inf)) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (0.5, inf)) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((condom, (condom, (-inf, 1.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (-inf, 9.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((yschool, (yschool, (11.5, 12.5>) -> (yschool, (-inf, 9.5>)) AND (lesion, (lesion, (0.5, inf)) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (-inf, 1.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (1.5, 2.0>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (11.5, 12.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (9.5, 11.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (2.5, 4.0>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (9.5, 11.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (-inf, 9.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (2.5, 4.0>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (0.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (9.5, 11.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (1.5, 2.0>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (0.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (11.5, 12.5>) -> (yschool, (12.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.0>)) AND (iinfct, (iinfct, (-inf, 1.5>) -> (iinfct, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
((npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)) AND (rs12m, (rs12m, (-inf, 0.5>) -> (rs12m, (0.5, inf))) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (0.5, inf))))
