((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (2.5, 5.75>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (22.5, 31.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (78.25, 84.75>) -> (cd4, (85.75, 362.25>)))
((cd4, (cd4, (78.25, 84.75>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (11.75, 19.5>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (-inf, 1.0>) -> (cd4, (78.25, 84.75>)))
((karnof, (karnof, (95.0, inf)) -> (karnof, (95.0, inf))))
((age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((priorzdv, (priorzdv, (86.0, 94.0>) -> (priorzdv, (19.0, 22.5>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (86.0, 94.0>) -> (priorzdv, (68.0, 72.0>)))
((age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((priorzdv, (priorzdv, (19.0, 22.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (45.5, 53.0>) -> (age, (29.5, 30.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (-inf, 0.5>)) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (cd4, (cd4, (66.5, 68.25>) -> (cd4, (2.5, 5.75>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (0.5, inf))) AND (age, (age, (53.0, 55.0>) -> (age, (28.5, 29.5>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (-inf, 3.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (22.5, 31.5>) -> (priorzdv, (68.0, 72.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (68.0, 72.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (75.25, 78.25>) -> (cd4, (85.75, 362.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (22.5, 31.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (94.0, 96.5>) -> (priorzdv, (68.0, 72.0>)))
((txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((strat2, (strat2, (-inf, 0.5>) -> (strat2, (0.5, inf))) AND (age, (age, (30.5, 31.0>) -> (age, (26.5, 28.5>)))
((priorzdv, (priorzdv, (3.5, 5.5>) -> (priorzdv, (68.0, 72.0>)))
((strat2, (strat2, (-inf, 0.5>) -> (strat2, (0.5, inf))) AND (age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((priorzdv, (priorzdv, (94.0, 96.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (22.5, 31.5>) -> (priorzdv, (19.0, 22.5>)))
((cd4, (cd4, (40.5, 57.25>) -> (cd4, (68.25, 75.25>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (72.0, 86.0>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((cd4, (cd4, (5.75, 11.75>) -> (cd4, (78.25, 84.75>)))
((cd4, (cd4, (40.5, 57.25>) -> (cd4, (68.25, 75.25>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (11.75, 19.5>) -> (cd4, (85.75, 362.25>)))
((cd4, (cd4, (5.75, 11.75>) -> (cd4, (78.25, 84.75>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (78.25, 84.75>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (72.0, 86.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (57.25, 61.25>) -> (cd4, (85.75, 362.25>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 45.5>) -> (age, (29.5, 30.5>)))
((age, (age, (28.5, 29.5>) -> (age, (26.5, 28.5>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (19.0, 22.5>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (19.0, 22.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (11.75, 19.5>) -> (cd4, (85.75, 362.25>)))
((age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
