time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, 
2.1, 0.788163, 0.605505, 0.834981, 0.628571, 0.834981, 0.645714, 0.834981, 0.668367, 0.838823, 0.650602, 0.834981, 0.705674, 0.834981, 0.688889, 0.822823, 0.866667, 0.825961, 0.840319, 0.605505, 0.832373, 0.605505, 0.821154, 0.605505, 
2.2, 0.785592, 0.605505, 0.832964, 0.628571, 0.832964, 0.645714, 0.832964, 0.668367, 0.836610, 0.644578, 0.832964, 0.702128, 0.832964, 0.684444, 0.819820, 0.866667, 0.825961, 0.837296, 0.605505, 0.829617, 0.605505, 0.815529, 0.605505, 
2.3, 0.781735, 0.605505, 0.828931, 0.628571, 0.828931, 0.645714, 0.828931, 0.668367, 0.834397, 0.644578, 0.828931, 0.698582, 0.828931, 0.680000, 0.816817, 0.866667, 0.825961, 0.837296, 0.605505, 0.826860, 0.605505, 0.809905, 0.605505, 
2.4, 0.777877, 0.596330, 0.824897, 0.621429, 0.824897, 0.640000, 0.824897, 0.663265, 0.829970, 0.638554, 0.824897, 0.695035, 0.824897, 0.675556, 0.810811, 0.866667, 0.818652, 0.831251, 0.596330, 0.821348, 0.596330, 0.804281, 0.596330, 
2.5, 0.771449, 0.587156, 0.818846, 0.614286, 0.818846, 0.634286, 0.818846, 0.663265, 0.823331, 0.632530, 0.818846, 0.687943, 0.818846, 0.671111, 0.801802, 0.866667, 0.811342, 0.822182, 0.587156, 0.813079, 0.587156, 0.804281, 0.587156, 
2.6, 0.767591, 0.587156, 0.812796, 0.614286, 0.812796, 0.634286, 0.812796, 0.663265, 0.816691, 0.632530, 0.812796, 0.687943, 0.812796, 0.671111, 0.795796, 0.866667, 0.804033, 0.816137, 0.587156, 0.807567, 0.587156, 0.793032, 0.587156, 
2.7, 0.759877, 0.568807, 0.808762, 0.600000, 0.808762, 0.622857, 0.808762, 0.647959, 0.812264, 0.614458, 0.808762, 0.673759, 0.808762, 0.653333, 0.789790, 0.866667, 0.804033, 0.810091, 0.568807, 0.802055, 0.568807, 0.781783, 0.568807, 
2.8, 0.757305, 0.568807, 0.804728, 0.600000, 0.804728, 0.622857, 0.804728, 0.647959, 0.810051, 0.614458, 0.804728, 0.673759, 0.804728, 0.653333, 0.786787, 0.866667, 0.804033, 0.810091, 0.568807, 0.799298, 0.568807, 0.781783, 0.568807, 
2.9, 0.750877, 0.550459, 0.800695, 0.585714, 0.800695, 0.611429, 0.800695, 0.637755, 0.807838, 0.596386, 0.800695, 0.663121, 0.800695, 0.640000, 0.786787, 0.866667, 0.796723, 0.807069, 0.550459, 0.793786, 0.550459, 0.770535, 0.550459, 
3.0, 0.743162, 0.541284, 0.790610, 0.578571, 0.790610, 0.605714, 0.790610, 0.632653, 0.796772, 0.590361, 0.790610, 0.659574, 0.790610, 0.631111, 0.771772, 0.833333, 0.789414, 0.798001, 0.541284, 0.785517, 0.541284, 0.770535, 0.541284, 
3.1, 0.740591, 0.532110, 0.788593, 0.571429, 0.788593, 0.600000, 0.788593, 0.627551, 0.796772, 0.584337, 0.788593, 0.656028, 0.788593, 0.626667, 0.771772, 0.833333, 0.789414, 0.798001, 0.532110, 0.782761, 0.532110, 0.770535, 0.532110, 
3.2, 0.736733, 0.522936, 0.788593, 0.564286, 0.788593, 0.594286, 0.788593, 0.617347, 0.796772, 0.578313, 0.788593, 0.645390, 0.788593, 0.617778, 0.771772, 0.833333, 0.789414, 0.798001, 0.522936, 0.782761, 0.522936, 0.770535, 0.522936, 
3.3, 0.730305, 0.522936, 0.782543, 0.564286, 0.782543, 0.594286, 0.782543, 0.617347, 0.790132, 0.566265, 0.782543, 0.638298, 0.782543, 0.608889, 0.762763, 0.833333, 0.782105, 0.788932, 0.522936, 0.774493, 0.522936, 0.764910, 0.522936, 
3.4, 0.726447, 0.513761, 0.780526, 0.557143, 0.780526, 0.582857, 0.780526, 0.607143, 0.787919, 0.554217, 0.780526, 0.631206, 0.780526, 0.600000, 0.759760, 0.833333, 0.782105, 0.788932, 0.513761, 0.774493, 0.513761, 0.764910, 0.513761, 
3.5, 0.720019, 0.504587, 0.774475, 0.550000, 0.774475, 0.577143, 0.774475, 0.602041, 0.781279, 0.542169, 0.774475, 0.624113, 0.774475, 0.591111, 0.750751, 0.833333, 0.774795, 0.779864, 0.504587, 0.766224, 0.504587, 0.759286, 0.504587, 
3.6, 0.717443, 0.504587, 0.770431, 0.550000, 0.770431, 0.577143, 0.770431, 0.602041, 0.776840, 0.542169, 0.770431, 0.624113, 0.770431, 0.591111, 0.747736, 0.816667, 0.774795, 0.776841, 0.504587, 0.763468, 0.504587, 0.759286, 0.504587, 
3.7, 0.711002, 0.486239, 0.766387, 0.535714, 0.766387, 0.565714, 0.766387, 0.586735, 0.774620, 0.530120, 0.766387, 0.613475, 0.766387, 0.582222, 0.744721, 0.800000, 0.774795, 0.773819, 0.486239, 0.760712, 0.486239, 0.759286, 0.486239, 
3.8, 0.709714, 0.486239, 0.764365, 0.535714, 0.764365, 0.565714, 0.764365, 0.586735, 0.772401, 0.530120, 0.764365, 0.613475, 0.764365, 0.582222, 0.744721, 0.783333, 0.774795, 0.773819, 0.486239, 0.760712, 0.486239, 0.759286, 0.486239, 
3.9, 0.709714, 0.486239, 0.764365, 0.535714, 0.764365, 0.565714, 0.764365, 0.586735, 0.772401, 0.530120, 0.764365, 0.613475, 0.764365, 0.582222, 0.744721, 0.783333, 0.774795, 0.773819, 0.486239, 0.760712, 0.486239, 0.759286, 0.486239, 
4.0, 0.704553, 0.477064, 0.758282, 0.528571, 0.758282, 0.560000, 0.758282, 0.581633, 0.765723, 0.530120, 0.758282, 0.609929, 0.758282, 0.582222, 0.735639, 0.766667, 0.774795, 0.767750, 0.477064, 0.755179, 0.477064, 0.759286, 0.477064, 
4.1, 0.703262, 0.477064, 0.756255, 0.528571, 0.756255, 0.560000, 0.756255, 0.581633, 0.763497, 0.530120, 0.756255, 0.609929, 0.756255, 0.582222, 0.735639, 0.766667, 0.774795, 0.764715, 0.477064, 0.752413, 0.477064, 0.759286, 0.477064, 
4.2, 0.701972, 0.477064, 0.756255, 0.528571, 0.756255, 0.554286, 0.756255, 0.581633, 0.763497, 0.530120, 0.756255, 0.606383, 0.756255, 0.582222, 0.735639, 0.766667, 0.774795, 0.764715, 0.477064, 0.752413, 0.477064, 0.759286, 0.477064, 
4.3, 0.698094, 0.467890, 0.754222, 0.514286, 0.754222, 0.542857, 0.754222, 0.571429, 0.761264, 0.524096, 0.754222, 0.599291, 0.754222, 0.573333, 0.735639, 0.750000, 0.774795, 0.764715, 0.467890, 0.752413, 0.467890, 0.759286, 0.467890, 
4.4, 0.696801, 0.467890, 0.752189, 0.514286, 0.752189, 0.542857, 0.752189, 0.571429, 0.759032, 0.524096, 0.752189, 0.599291, 0.752189, 0.568889, 0.732611, 0.733333, 0.774795, 0.764715, 0.467890, 0.752413, 0.467890, 0.759286, 0.467890, 
4.5, 0.695508, 0.467890, 0.752189, 0.514286, 0.752189, 0.542857, 0.752189, 0.566327, 0.759032, 0.524096, 0.752189, 0.595745, 0.752189, 0.568889, 0.732611, 0.733333, 0.774795, 0.764715, 0.467890, 0.752413, 0.467890, 0.759286, 0.467890, 
4.7, 0.692923, 0.458716, 0.750156, 0.507143, 0.750156, 0.537143, 0.750156, 0.561224, 0.756799, 0.518072, 0.750156, 0.592199, 0.750156, 0.564444, 0.732611, 0.733333, 0.774795, 0.764715, 0.458716, 0.752413, 0.458716, 0.759286, 0.458716, 
4.8, 0.691630, 0.449541, 0.750156, 0.500000, 0.750156, 0.531429, 0.750156, 0.556122, 0.756799, 0.518072, 0.750156, 0.588652, 0.750156, 0.564444, 0.732611, 0.733333, 0.774795, 0.764715, 0.449541, 0.752413, 0.449541, 0.759286, 0.449541, 
4.9, 0.690337, 0.449541, 0.748123, 0.500000, 0.748123, 0.531429, 0.748123, 0.556122, 0.754567, 0.518072, 0.748123, 0.588652, 0.748123, 0.564444, 0.729584, 0.733333, 0.767486, 0.761668, 0.449541, 0.749636, 0.449541, 0.759286, 0.449541, 
5.0, 0.689044, 0.449541, 0.746090, 0.500000, 0.746090, 0.531429, 0.746090, 0.556122, 0.752335, 0.518072, 0.746090, 0.588652, 0.746090, 0.564444, 0.729584, 0.716667, 0.767486, 0.761668, 0.449541, 0.749636, 0.449541, 0.759286, 0.449541, 
5.1, 0.685166, 0.449541, 0.739991, 0.500000, 0.739991, 0.531429, 0.739991, 0.556122, 0.745637, 0.518072, 0.739991, 0.588652, 0.739991, 0.564444, 0.720502, 0.716667, 0.752867, 0.752528, 0.449541, 0.741307, 0.449541, 0.747953, 0.449541, 
5.3, 0.679995, 0.431193, 0.737958, 0.485714, 0.737958, 0.520000, 0.737958, 0.545918, 0.743405, 0.506024, 0.737958, 0.578014, 0.737958, 0.555556, 0.720502, 0.716667, 0.752867, 0.749482, 0.431193, 0.738531, 0.431193, 0.747953, 0.431193, 
5.4, 0.676117, 0.422018, 0.735925, 0.478571, 0.735925, 0.514286, 0.735925, 0.535714, 0.741172, 0.493976, 0.735925, 0.570922, 0.735925, 0.546667, 0.717475, 0.716667, 0.745558, 0.746435, 0.422018, 0.735754, 0.422018, 0.747953, 0.422018, 
5.5, 0.674824, 0.422018, 0.735925, 0.478571, 0.735925, 0.514286, 0.735925, 0.530612, 0.741172, 0.493976, 0.735925, 0.567376, 0.735925, 0.546667, 0.717475, 0.716667, 0.745558, 0.746435, 0.422018, 0.735754, 0.422018, 0.747953, 0.422018, 
5.6, 0.672238, 0.422018, 0.733892, 0.471429, 0.733892, 0.508571, 0.733892, 0.525510, 0.738940, 0.493976, 0.733892, 0.563830, 0.733892, 0.542222, 0.714447, 0.716667, 0.745558, 0.743388, 0.422018, 0.732978, 0.422018, 0.747953, 0.422018, 
5.7, 0.670946, 0.422018, 0.731859, 0.471429, 0.731859, 0.508571, 0.731859, 0.525510, 0.736707, 0.493976, 0.731859, 0.563830, 0.731859, 0.542222, 0.711420, 0.700000, 0.745558, 0.743388, 0.422018, 0.732978, 0.422018, 0.747953, 0.422018, 
5.9, 0.670946, 0.422018, 0.731859, 0.471429, 0.731859, 0.508571, 0.731859, 0.525510, 0.736707, 0.493976, 0.731859, 0.563830, 0.731859, 0.542222, 0.711420, 0.700000, 0.745558, 0.743388, 0.422018, 0.732978, 0.422018, 0.747953, 0.422018, 
6.0, 0.667052, 0.412844, 0.729815, 0.464286, 0.729815, 0.502857, 0.729815, 0.515306, 0.736707, 0.481928, 0.729815, 0.556738, 0.729815, 0.533333, 0.711420, 0.700000, 0.745558, 0.743388, 0.412844, 0.730180, 0.412844, 0.742244, 0.412844, 
6.1, 0.663151, 0.403670, 0.725715, 0.457143, 0.725715, 0.497143, 0.725715, 0.510204, 0.734455, 0.475904, 0.725715, 0.553191, 0.725715, 0.528889, 0.708354, 0.700000, 0.745558, 0.740316, 0.403670, 0.727383, 0.403670, 0.742244, 0.403670, 
6.2, 0.663151, 0.403670, 0.725715, 0.457143, 0.725715, 0.497143, 0.725715, 0.510204, 0.734455, 0.475904, 0.725715, 0.553191, 0.725715, 0.528889, 0.708354, 0.700000, 0.745558, 0.740316, 0.403670, 0.727383, 0.403670, 0.742244, 0.403670, 
6.3, 0.661849, 0.403670, 0.725715, 0.457143, 0.725715, 0.497143, 0.725715, 0.510204, 0.734455, 0.475904, 0.725715, 0.549645, 0.725715, 0.524444, 0.708354, 0.700000, 0.745558, 0.740316, 0.403670, 0.727383, 0.403670, 0.742244, 0.403670, 
6.4, 0.659243, 0.385321, 0.725715, 0.442857, 0.725715, 0.485714, 0.725715, 0.500000, 0.734455, 0.463855, 0.725715, 0.542553, 0.725715, 0.515556, 0.708354, 0.700000, 0.745558, 0.740316, 0.385321, 0.727383, 0.385321, 0.742244, 0.385321, 
6.5, 0.657940, 0.385321, 0.725715, 0.442857, 0.725715, 0.480000, 0.725715, 0.494898, 0.734455, 0.457831, 0.725715, 0.539007, 0.725715, 0.511111, 0.708354, 0.700000, 0.745558, 0.740316, 0.385321, 0.727383, 0.385321, 0.742244, 0.385321, 
6.6, 0.656635, 0.385321, 0.723653, 0.442857, 0.723653, 0.480000, 0.723653, 0.494898, 0.732188, 0.457831, 0.723653, 0.539007, 0.723653, 0.511111, 0.705260, 0.700000, 0.745558, 0.737219, 0.385321, 0.724563, 0.385321, 0.742244, 0.385321, 
6.8, 0.652710, 0.376147, 0.723653, 0.435714, 0.723653, 0.474286, 0.723653, 0.489796, 0.732188, 0.457831, 0.723653, 0.528369, 0.723653, 0.511111, 0.705260, 0.700000, 0.745558, 0.737219, 0.376147, 0.724563, 0.376147, 0.742244, 0.376147, 
6.9, 0.648786, 0.366972, 0.721586, 0.428571, 0.721586, 0.468571, 0.721586, 0.479592, 0.729914, 0.445783, 0.721586, 0.521277, 0.721586, 0.502222, 0.705260, 0.700000, 0.745558, 0.737219, 0.366972, 0.724563, 0.366972, 0.736399, 0.366972, 
7.0, 0.646165, 0.357798, 0.721586, 0.414286, 0.721586, 0.457143, 0.721586, 0.474490, 0.729914, 0.439759, 0.721586, 0.514184, 0.721586, 0.497778, 0.705260, 0.700000, 0.745558, 0.737219, 0.357798, 0.724563, 0.357798, 0.736399, 0.357798, 
7.1, 0.644854, 0.348624, 0.721586, 0.407143, 0.721586, 0.451429, 0.721586, 0.474490, 0.729914, 0.439759, 0.721586, 0.510638, 0.721586, 0.497778, 0.705260, 0.700000, 0.745558, 0.737219, 0.348624, 0.724563, 0.348624, 0.736399, 0.348624, 
7.2, 0.642233, 0.348624, 0.717439, 0.407143, 0.717439, 0.451429, 0.717439, 0.474490, 0.727633, 0.439759, 0.717439, 0.510638, 0.717439, 0.497778, 0.702140, 0.700000, 0.745558, 0.734095, 0.348624, 0.721722, 0.348624, 0.736399, 0.348624, 
7.4, 0.640922, 0.348624, 0.715365, 0.407143, 0.715365, 0.451429, 0.715365, 0.474490, 0.725352, 0.439759, 0.715365, 0.510638, 0.715365, 0.497778, 0.699019, 0.700000, 0.738176, 0.730971, 0.348624, 0.718880, 0.348624, 0.736399, 0.348624, 
7.5, 0.636990, 0.339450, 0.713292, 0.400000, 0.713292, 0.445714, 0.713292, 0.469388, 0.723071, 0.427711, 0.713292, 0.503546, 0.713292, 0.488889, 0.695899, 0.700000, 0.738176, 0.727847, 0.339450, 0.716039, 0.339450, 0.730555, 0.339450, 
7.6, 0.633058, 0.339450, 0.707071, 0.400000, 0.707071, 0.445714, 0.707071, 0.469388, 0.716228, 0.427711, 0.707071, 0.503546, 0.707071, 0.488889, 0.689657, 0.700000, 0.738176, 0.718476, 0.339450, 0.707515, 0.339450, 0.724710, 0.339450, 
7.8, 0.631748, 0.330275, 0.707071, 0.392857, 0.707071, 0.440000, 0.707071, 0.464286, 0.716228, 0.421687, 0.707071, 0.500000, 0.707071, 0.484444, 0.689657, 0.700000, 0.738176, 0.718476, 0.330275, 0.707515, 0.330275, 0.724710, 0.330275, 
8.0, 0.630437, 0.330275, 0.704998, 0.392857, 0.704998, 0.440000, 0.704998, 0.464286, 0.713947, 0.421687, 0.704998, 0.500000, 0.704998, 0.484444, 0.689657, 0.700000, 0.738176, 0.715352, 0.330275, 0.704673, 0.330275, 0.724710, 0.330275, 
8.3, 0.630437, 0.330275, 0.704998, 0.392857, 0.704998, 0.440000, 0.704998, 0.464286, 0.713947, 0.421687, 0.704998, 0.500000, 0.704998, 0.484444, 0.689657, 0.700000, 0.738176, 0.715352, 0.330275, 0.704673, 0.330275, 0.724710, 0.330275, 
8.5, 0.629123, 0.330275, 0.702918, 0.392857, 0.702918, 0.440000, 0.702918, 0.464286, 0.711659, 0.421687, 0.702918, 0.500000, 0.702918, 0.480000, 0.686522, 0.683333, 0.738176, 0.715352, 0.330275, 0.704673, 0.330275, 0.724710, 0.330275, 
8.6, 0.629123, 0.330275, 0.702918, 0.392857, 0.702918, 0.440000, 0.702918, 0.464286, 0.711659, 0.421687, 0.702918, 0.500000, 0.702918, 0.480000, 0.686522, 0.683333, 0.738176, 0.715352, 0.330275, 0.704673, 0.330275, 0.724710, 0.330275, 
8.8, 0.627799, 0.321101, 0.702918, 0.385714, 0.702918, 0.434286, 0.702918, 0.459127, 0.711659, 0.421687, 0.702918, 0.496429, 0.702918, 0.480000, 0.686522, 0.683333, 0.738176, 0.715352, 0.321101, 0.704673, 0.321101, 0.724710, 0.321101, 
8.9, 0.625150, 0.311927, 0.700820, 0.378571, 0.700820, 0.428571, 0.700820, 0.453968, 0.709348, 0.421687, 0.700820, 0.492857, 0.700820, 0.480000, 0.683344, 0.683333, 0.738176, 0.712201, 0.311927, 0.701809, 0.311927, 0.718770, 0.311927, 
9.0, 0.621177, 0.293578, 0.700820, 0.364286, 0.700820, 0.411429, 0.700820, 0.438492, 0.709348, 0.409639, 0.700820, 0.482143, 0.700820, 0.471111, 0.683344, 0.683333, 0.738176, 0.712201, 0.293578, 0.701809, 0.293578, 0.718770, 0.293578, 
9.2, 0.619852, 0.293578, 0.700820, 0.364286, 0.700820, 0.411429, 0.700820, 0.433333, 0.709348, 0.409639, 0.700820, 0.478571, 0.700820, 0.466667, 0.683344, 0.683333, 0.738176, 0.712201, 0.293578, 0.701809, 0.293578, 0.718770, 0.293578, 
9.4, 0.618528, 0.293578, 0.700820, 0.357143, 0.700820, 0.405714, 0.700820, 0.428175, 0.709348, 0.403614, 0.700820, 0.475000, 0.700820, 0.462222, 0.683344, 0.683333, 0.738176, 0.712201, 0.293578, 0.701809, 0.293578, 0.718770, 0.293578, 
9.5, 0.617203, 0.284404, 0.700820, 0.350000, 0.700820, 0.400000, 0.700820, 0.423016, 0.709348, 0.397590, 0.700820, 0.471429, 0.700820, 0.457778, 0.683344, 0.683333, 0.738176, 0.712201, 0.284404, 0.701809, 0.284404, 0.718770, 0.284404, 
9.6, 0.617203, 0.284404, 0.700820, 0.350000, 0.700820, 0.400000, 0.700820, 0.423016, 0.709348, 0.397590, 0.700820, 0.471429, 0.700820, 0.457778, 0.683344, 0.683333, 0.738176, 0.712201, 0.284404, 0.701809, 0.284404, 0.718770, 0.284404, 
9.7, 0.615870, 0.284404, 0.700820, 0.350000, 0.700820, 0.400000, 0.700820, 0.417857, 0.709348, 0.397590, 0.700820, 0.467857, 0.700820, 0.457778, 0.683344, 0.683333, 0.738176, 0.712201, 0.284404, 0.701809, 0.284404, 0.718770, 0.284404, 
9.8, 0.614537, 0.284404, 0.698702, 0.350000, 0.698702, 0.400000, 0.698702, 0.417857, 0.709348, 0.397590, 0.698702, 0.467857, 0.698702, 0.457778, 0.683344, 0.683333, 0.738176, 0.712201, 0.284404, 0.698921, 0.284404, 0.712780, 0.284404, 
10.1, 0.614537, 0.284404, 0.698702, 0.350000, 0.698702, 0.400000, 0.698702, 0.417857, 0.709348, 0.397590, 0.698702, 0.467857, 0.698702, 0.457778, 0.683344, 0.683333, 0.738176, 0.712201, 0.284404, 0.698921, 0.284404, 0.712780, 0.284404, 
10.2, 0.613198, 0.275229, 0.698702, 0.342857, 0.698702, 0.394286, 0.698702, 0.412698, 0.709348, 0.391566, 0.698702, 0.464286, 0.698702, 0.453333, 0.683344, 0.683333, 0.738176, 0.712201, 0.275229, 0.698921, 0.275229, 0.712780, 0.275229, 
10.5, 0.613198, 0.275229, 0.698702, 0.342857, 0.698702, 0.394286, 0.698702, 0.412698, 0.709348, 0.391566, 0.698702, 0.464286, 0.698702, 0.453333, 0.683344, 0.683333, 0.738176, 0.712201, 0.275229, 0.698921, 0.275229, 0.712780, 0.275229, 
10.6, 0.611856, 0.275229, 0.698702, 0.342857, 0.698702, 0.394286, 0.698702, 0.412698, 0.709348, 0.391566, 0.698702, 0.460687, 0.698702, 0.448889, 0.683344, 0.683333, 0.738176, 0.712201, 0.275229, 0.698921, 0.275229, 0.712780, 0.275229, 
10.8, 0.610512, 0.266055, 0.698702, 0.335562, 0.698702, 0.388487, 0.698702, 0.407474, 0.709348, 0.385542, 0.698702, 0.457087, 0.698702, 0.444444, 0.683344, 0.683333, 0.738176, 0.712201, 0.266055, 0.698921, 0.266055, 0.712780, 0.266055, 
10.9, 0.610512, 0.266055, 0.698702, 0.335562, 0.698702, 0.388487, 0.698702, 0.407474, 0.709348, 0.385542, 0.698702, 0.457087, 0.698702, 0.444444, 0.683344, 0.683333, 0.738176, 0.712201, 0.266055, 0.698921, 0.266055, 0.712780, 0.266055, 
11.0, 0.609158, 0.266055, 0.696546, 0.335562, 0.696546, 0.388487, 0.696546, 0.407474, 0.706968, 0.385542, 0.696546, 0.457087, 0.696546, 0.444444, 0.680075, 0.683333, 0.738176, 0.708949, 0.266055, 0.695972, 0.266055, 0.706636, 0.266055, 
11.1, 0.607804, 0.256881, 0.696546, 0.328267, 0.696546, 0.382689, 0.696546, 0.402250, 0.706968, 0.385542, 0.696546, 0.453488, 0.696546, 0.444444, 0.680075, 0.683333, 0.738176, 0.708949, 0.256881, 0.695972, 0.256881, 0.706636, 0.256881, 
11.2, 0.607804, 0.256881, 0.696546, 0.328267, 0.696546, 0.382689, 0.696546, 0.402250, 0.706968, 0.385542, 0.696546, 0.453488, 0.696546, 0.444444, 0.680075, 0.683333, 0.738176, 0.708949, 0.256881, 0.695972, 0.256881, 0.706636, 0.256881, 
