((BECK, (BECK, (12.0, 23.5>) -> (BECK, (0.5, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (0.8388884999999999, inf))))
((BECK, (BECK, (0.5, 8.2>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (AGE, (AGE, (21.5, 43.0>) -> (AGE, (21.5, 43.0>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (23.5, 36.9>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (0.5, 8.2>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.408333, 0.65>) -> (FRAC, (0.8388884999999999, inf))))
((BECK, (BECK, (0.5, 8.2>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (0.5, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.408333, 0.65>) -> (FRAC, (0.8388884999999999, inf))))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.408333, 0.65>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (AGE, (AGE, (21.5, 43.0>) -> (AGE, (21.5, 43.0>)) AND (FRAC, (FRAC, (0.65, 0.7083335>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (8.2, 11.5>) -> (BECK, (0.5, 8.2>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.3416665, 0.408333>) -> (FRAC, (0.8388884999999999, inf))))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (AGE, (AGE, (21.5, 43.0>) -> (AGE, (21.5, 43.0>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (0.5, 8.2>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (0.5, 8.2>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (8.2, 11.5>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (AGE, (AGE, (21.5, 43.0>) -> (AGE, (21.5, 43.0>)) AND (FRAC, (FRAC, (0.408333, 0.65>) -> (FRAC, (-inf, 0.1277775>)))
