((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((agepill, (agepill, (45.5, 49.5>) -> (agepill, (50.5, 54.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((agepill, (agepill, (44.5, 45.5>) -> (agepill, (50.5, 54.5>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
