((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (69.75, 78.25>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (23.25, 41.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (64.75, 69.75>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (25.5, 28.5>) -> (age, (25.5, 28.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (19.75, 23.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (8.5, 11.75>) -> (cd4, (69.75, 78.25>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (-inf, 85.0>) -> (karnof, (95.0, inf))))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (23.25, 41.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (8.5, 11.75>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (69.75, 78.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (2.5, 8.5>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (64.25, 64.75>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (64.75, 69.75>)))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 28.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (19.75, 23.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (8.5, 11.75>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (19.75, 23.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (2.5, 8.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (0.5, 2.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (78.25, 85.75>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (0.5, inf)) -> (hemophil, (-inf, 0.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (19.75, 23.25>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((cd4, (cd4, (23.25, 41.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (-inf, 85.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (69.75, 78.25>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (0.5, 2.0>) -> (cd4, (69.75, 78.25>)))
((cd4, (cd4, (78.25, 85.75>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (2.5, 8.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (69.75, 78.25>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (95.0, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((age, (age, (51.5, 56.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (0.5, 2.0>) -> (cd4, (-inf, 0.5>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (64.75, 69.75>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (2.5, 8.5>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (78.25, 85.75>) -> (cd4, (64.75, 69.75>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (19.75, 23.25>)))
((cd4, (cd4, (23.25, 41.25>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 85.0>)))
((age, (age, (23.5, 25.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (95.0, inf))))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (15.5, 25.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (41.5, 51.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (30.5, 41.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (41.5, 51.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (89.5, 206.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (89.5, 206.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (30.5, 41.5>) -> (age, (27.5, 28.0>)))
((age, (age, (41.5, 51.5>) -> (age, (29.5, 30.5>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (68.5, 73.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (41.5, 51.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (68.5, 73.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (89.5, 206.0>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (41.5, 51.5>) -> (age, (27.5, 28.0>)))
((age, (age, (30.5, 41.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (89.5, 206.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (30.5, 41.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (7.5, 9.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (77.5, 89.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (77.5, 89.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (77.5, 89.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (77.5, 89.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (45.0, 66.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (9.75, 11.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (89.5, 206.0>)))
((age, (age, (41.5, 51.5>) -> (age, (27.5, 28.0>)))
((priorzdv, (priorzdv, (66.5, 68.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (21.0, 44.5>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (16.0, 21.0>) -> (priorzdv, (89.5, 206.0>)))
((priorzdv, (priorzdv, (11.5, 16.0>) -> (priorzdv, (89.5, 206.0>)))
