((BECK, (BECK, (-inf, 9.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.566667, 0.736111>) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (12.079, 23.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.736111, 0.7416665>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.2916665, 0.566667>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (23.5, 36.375>) -> (BECK, (-inf, 9.5>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.2916665, 0.566667>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (-inf, 9.5>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.2916665, 0.566667>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (-inf, 9.5>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.2916665, 0.566667>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((FRAC, (FRAC, (0.566667, 0.736111>) -> (FRAC, (0.566667, 0.736111>)) AND (AGE, (AGE, (22.5, 43.0>) -> (AGE, (22.5, 43.0>)))
((BECK, (BECK, (9.5, 11.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (-inf, 9.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.2916665, 0.566667>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (23.5, 36.375>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (23.5, 36.375>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 9.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.079, 23.5>) -> (BECK, (-inf, 9.5>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (37.9, 42.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 9.5>) -> (BECK, (12.079, 23.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (0.836111, inf))))
