((SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1480.31, 1488.27>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure17, (SensorMeasure17, (370.5, inf)) -> (SensorMeasure17, (-inf, 370.5>)) AND (SensorMeasure13, (SensorMeasure13, (2387.995, 2388.035>) -> (SensorMeasure13, (2387.995, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1574.12, inf)) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure2, (SensorMeasure2, (536.38, 548.665>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1340.755>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure17, (SensorMeasure17, (370.5, inf)) -> (SensorMeasure17, (-inf, 370.5>)) AND (SensorMeasure13, (SensorMeasure13, (2388.085, inf)) -> (SensorMeasure13, (2387.995, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1340.755>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)))
((SensorMeasure2, (SensorMeasure2, (536.38, 548.665>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1340.755>) -> (SensorMeasure3, (1488.27, 1574.12>)))
((SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1480.31, 1488.27>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure17, (SensorMeasure17, (370.5, inf)) -> (SensorMeasure17, (-inf, 370.5>)) AND (SensorMeasure13, (SensorMeasure13, (2388.085, inf)) -> (SensorMeasure13, (2387.995, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
((SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))) AND (SensorMeasure3, (SensorMeasure3, (1356.685, 1479.62>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))))
