((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (12.5, 13.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (dchexam, (dchexam, (-inf, 0.5>) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (-inf, 9.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (age, (age, (28.5, 37.5>) -> (age, (14.5, 15.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (13.5, inf)) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (14.5, 15.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (13.5, inf)) -> (yschool, (-inf, 9.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (age, (age, (19.5, 22.5>) -> (age, (14.5, 15.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (age, (age, (28.5, 37.5>) -> (age, (14.5, 15.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (12.5, 13.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (-inf, 0.5>) -> (os12m, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (-inf, 9.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (age, (age, (28.5, 37.5>) -> (age, (14.5, 15.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (12.5, 13.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (age, (age, (19.5, 22.5>) -> (age, (14.5, 15.5>)) AND (vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (age, (age, (28.5, 37.5>) -> (age, (14.5, 15.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (-inf, 9.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (14.5, 15.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
