((age, (age, (69.5, 71.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (73.5, 80.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (35.26913999999999, 39.794835>) -> (bmi, (-inf, 18.822625000000002>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (-inf, 18.822625000000002>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (103.5, 118.5>)))
((diasbp, (diasbp, (118.5, inf)) -> (diasbp, (49.0, 59.5>)))
((bmi, (bmi, (35.26913999999999, 39.794835>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (-inf, 18.822625000000002>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (35.26913999999999, 39.794835>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (118.5, inf)) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (87.0, 94.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (83.5, 85.5>) -> (age, (85.5, 96.0>)) AND (hr, (hr, (67.5, 68.5>) -> (hr, (76.0, 119.5>)) AND (av3, (av3, (-inf, 0.5>) -> (av3, (-inf, 0.5>)) AND (bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (19.632635, 25.595425>)))
((bmi, (bmi, (-inf, 18.822625000000002>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (35.26913999999999, 39.794835>)))
((diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (49.0, 59.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (-inf, 18.822625000000002>) -> (bmi, (35.26913999999999, 39.794835>)))
((diasbp, (diasbp, (87.0, 94.5>) -> (diasbp, (103.5, 118.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (103.5, 118.5>)))
((age, (age, (81.0, 83.5>) -> (age, (85.5, 96.0>)))
((bmi, (bmi, (25.59959, 26.53304>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (81.0, 83.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (118.5, inf)) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (-inf, 18.822625000000002>)))
