((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (7.5, 9.0>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (19.25, 20.5>) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (40.5, 50.5>)))
((cd4, (cd4, (11.75, 18.75>) -> (cd4, (57.25, 63.25>)))
((cd4, (cd4, (67.75, 78.25>) -> (cd4, (6.0, 11.75>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 85.0>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (34.0, 36.5>)) AND (sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)))
((cd4, (cd4, (-inf, 3.5>) -> (cd4, (57.25, 63.25>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (38.5, 40.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (40.5, 44.5>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (3.5, 4.25>) -> (cd4, (84.75, inf))) AND (ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.0, inf))))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (28.5, 30.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (44.25, 57.25>) -> (cd4, (57.25, 63.25>)))
((cd4, (cd4, (20.5, 41.25>) -> (cd4, (6.0, 11.75>)) AND (age, (age, (50.5, 51.5>) -> (age, (40.5, 50.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (34.0, 36.5>)) AND (sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (-inf, 23.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (-inf, 3.5>) -> (cd4, (84.75, inf))) AND (ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.0, inf))))
((cd4, (cd4, (67.75, 78.25>) -> (cd4, (6.0, 11.75>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (26.5, 28.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (20.5, 41.25>) -> (cd4, (57.25, 63.25>)))
((cd4, (cd4, (20.5, 41.25>) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (40.5, 50.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (38.5, 40.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (38.5, 40.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (38.5, 40.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (57.25, 63.25>) -> (cd4, (6.0, 11.75>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (7.5, 9.0>) -> (priorzdv, (40.5, 44.5>)))
((priorzdv, (priorzdv, (44.5, 61.0>) -> (priorzdv, (40.5, 44.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (34.0, 36.5>)) AND (sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (51.5, 58.0>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (9.0, 32.5>) -> (priorzdv, (34.0, 36.5>)) AND (sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)))
((cd4, (cd4, (78.25, 84.75>) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (40.5, 50.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (30.5, 38.5>)))
((priorzdv, (priorzdv, (61.0, 74.0>) -> (priorzdv, (40.5, 44.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (51.5, 58.0>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (63.25, 67.75>) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (40.5, 50.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (30.5, 38.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (23.5, 25.5>) -> (age, (30.5, 38.5>)))
((cd4, (cd4, (84.75, inf)) -> (cd4, (6.0, 11.75>)) AND (age, (age, (40.5, 50.5>) -> (age, (30.5, 38.5>)))
