((FRAC, (FRAC, (0.566667, 0.736111>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.3416665, 0.4166665>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (0.5, 8.2>) -> (BECK, (15.5, 36.375>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 15.5>) -> (BECK, (15.5, 36.375>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (37.5, 40.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.3416665, 0.4166665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (0.5, 8.2>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 15.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 15.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.8083335, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.4166665, 0.44999999999999996>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.7416665, 0.8083335>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (8.2, 11.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (42.0, 45.5>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (11.5, 12.0>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (8.2, 11.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (0.5, 8.2>) -> (BECK, (15.5, 36.375>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (0.5, 8.2>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.4166665, 0.44999999999999996>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.3416665, 0.4166665>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (0.5, 8.2>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (8.2, 11.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.566667, 0.736111>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 15.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (0.44999999999999996, 0.566667>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
