((CPK, (CPK, (95.5, 152.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (95.5, 152.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (152.0, 195.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (2982.5, 4046.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (2982.5, 4046.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (0.5, inf)) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
