((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Ever}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Ever}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.363636, -1.1818179999999998>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-1.363636, -1.1818179999999998>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-1.363636, -1.1818179999999998>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Ever}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (1.5, inf))) AND (smoke, (smoke, {Never}) -> (smoke, {Never})) AND (stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-1.1818179999999998, -0.45454550000000005>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-1.363636, -1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
