((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (9.38985, inf)) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
((SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)) AND (SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)))
