((age, (age, (56.75, 58.85>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (66.95, 68.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (59.95, 62.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (163.5, inf)) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (155.5, 160.5>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (66.95, 68.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (18.75, 42.2>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (43.6, 46.95>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (155.5, 160.5>) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (43.6, 46.95>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (43.6, 46.95>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (155.5, 160.5>) -> (hgb, (-inf, 154.0>)))
((age, (age, (58.85, 59.65>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (18.75, 42.2>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (66.95, 68.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (160.5, 163.5>) -> (hgb, (-inf, 154.0>)))
((age, (age, (46.95, 56.75>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (160.5, 163.5>) -> (hgb, (-inf, 154.0>)))
((age, (age, (56.75, 58.85>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (58.85, 59.65>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (43.6, 46.95>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (42.2, 43.6>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (160.5, 163.5>) -> (hgb, (-inf, 154.0>)))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (68.95, inf)) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (18.75, 42.2>) -> (age, (68.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
((age, (age, (58.85, 59.65>) -> (age, (18.75, 42.2>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 154.0>) -> (hgb, (-inf, 154.0>)))
