((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (12.079, 15.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7694445, 0.7944445>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.079, 15.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)))
