((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (-inf, 138.485>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
