((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)) AND (priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((age, (age, (43.5, 53.5>) -> (age, (53.5, 56.5>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)) AND (priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (71.25, 72.25>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (18.75, 23.25>) -> (cd4, (86.0, 370.0>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((age, (age, (34.5, 40.5>) -> (age, (53.5, 56.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (18.75, 23.25>) -> (cd4, (53.75, 57.25>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (11.75, 18.75>) -> (cd4, (86.0, 370.0>)))
((priorzdv, (priorzdv, (91.5, 98.0>) -> (priorzdv, (31.5, 33.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((age, (age, (34.5, 40.5>) -> (age, (53.5, 56.5>)))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (7.5, 8.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((age, (age, (15.5, 23.5>) -> (age, (53.5, 56.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (53.75, 57.25>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((age, (age, (34.5, 40.5>) -> (age, (53.5, 56.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)) AND (sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (72.25, 78.25>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (31.5, 33.5>)))
((age, (age, (29.5, 30.0>) -> (age, (25.5, 28.5>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (18.75, 23.25>) -> (cd4, (86.0, 370.0>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
