((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.147222, 0.2611115>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (30.25, 36.375>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (36.9, inf)) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.147222, 0.2611115>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (-inf, 3.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.147222, 0.2611115>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (-inf, 0.147222>)))
