((yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (12.5, 14.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (12.5, 14.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (6.5, 7.5>) -> (yschool, (14.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (-inf, 6.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
