time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, 
1621.0, 0.754536, 0.319355, 0.924073, 0.466667, 0.924073, 0.916849, 0.437500, 
1627.0, 0.754536, 0.319355, 0.924073, 0.466667, 0.924073, 0.916849, 0.437500, 
1641.0, 0.754536, 0.319355, 0.924073, 0.466667, 0.924073, 0.916849, 0.437500, 
1648.0, 0.754536, 0.319355, 0.924073, 0.466667, 0.924073, 0.916849, 0.437500, 
1652.0, 0.754536, 0.319355, 0.924073, 0.466667, 0.924073, 0.916849, 0.437500, 
1654.0, 0.754536, 0.319355, 0.924073, 0.466667, 0.924073, 0.916849, 0.437500, 
1667.0, 0.748500, 0.283871, 0.924073, 0.450000, 0.924073, 0.916849, 0.437500, 
1685.0, 0.748500, 0.283871, 0.924073, 0.450000, 0.924073, 0.916849, 0.437500, 
1690.0, 0.742414, 0.283871, 0.924073, 0.450000, 0.924073, 0.916849, 0.437500, 
1710.0, 0.742414, 0.283871, 0.924073, 0.450000, 0.924073, 0.916849, 0.437500, 
1726.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1745.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1762.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1779.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1787.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1793.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1804.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1812.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1836.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1839.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1854.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1856.0, 0.736228, 0.283871, 0.911238, 0.450000, 0.911238, 0.902523, 0.437500, 
1860.0, 0.729282, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1899.0, 0.729282, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1914.0, 0.729282, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1919.0, 0.729282, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1920.0, 0.729282, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1927.0, 0.729282, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1933.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1942.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1955.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1956.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1958.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1963.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
1970.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2005.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2007.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2011.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2024.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2028.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2038.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2056.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2059.0, 0.721989, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2061.0, 0.713495, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2062.0, 0.705001, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2075.0, 0.705001, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2102.0, 0.705001, 0.283871, 0.911238, 0.431250, 0.911238, 0.902523, 0.401042, 
2103.0, 0.696298, 0.283871, 0.893371, 0.431250, 0.893371, 0.882011, 0.401042, 
2108.0, 0.687594, 0.283871, 0.875504, 0.431250, 0.875504, 0.861499, 0.401042, 
2112.0, 0.687594, 0.283871, 0.875504, 0.431250, 0.875504, 0.861499, 0.401042, 
2150.0, 0.687594, 0.283871, 0.875504, 0.431250, 0.875504, 0.861499, 0.401042, 
2156.0, 0.687594, 0.283871, 0.875504, 0.431250, 0.875504, 0.861499, 0.401042, 
2209.0, 0.687594, 0.283871, 0.875504, 0.431250, 0.875504, 0.861499, 0.401042, 
2227.0, 0.687594, 0.283871, 0.875504, 0.431250, 0.875504, 0.861499, 0.401042, 
2256.0, 0.678175, 0.283871, 0.875504, 0.404297, 0.875504, 0.861499, 0.401042, 
2264.0, 0.678175, 0.283871, 0.875504, 0.404297, 0.875504, 0.861499, 0.401042, 
2339.0, 0.678175, 0.283871, 0.875504, 0.404297, 0.875504, 0.861499, 0.401042, 
2361.0, 0.678175, 0.283871, 0.875504, 0.404297, 0.875504, 0.861499, 0.401042, 
2387.0, 0.678175, 0.283871, 0.875504, 0.404297, 0.875504, 0.861499, 0.401042, 
2388.0, 0.668202, 0.283871, 0.855143, 0.404297, 0.855143, 0.838216, 0.401042, 
2426.0, 0.668202, 0.283871, 0.855143, 0.404297, 0.855143, 0.838216, 0.401042, 
2431.0, 0.668202, 0.283871, 0.855143, 0.404297, 0.855143, 0.838216, 0.401042, 
2460.0, 0.668202, 0.283871, 0.855143, 0.404297, 0.855143, 0.838216, 0.401042, 
2467.0, 0.657595, 0.283871, 0.855143, 0.373197, 0.855143, 0.838216, 0.401042, 
2492.0, 0.657595, 0.283871, 0.855143, 0.373197, 0.855143, 0.838216, 0.401042, 
2493.0, 0.657595, 0.283871, 0.855143, 0.373197, 0.855143, 0.838216, 0.401042, 
2521.0, 0.657595, 0.283871, 0.855143, 0.373197, 0.855143, 0.838216, 0.401042, 
2542.0, 0.657595, 0.283871, 0.855143, 0.373197, 0.855143, 0.838216, 0.401042, 
2559.0, 0.657595, 0.283871, 0.855143, 0.373197, 0.855143, 0.838216, 0.401042, 
2565.0, 0.646058, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2570.0, 0.646058, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2660.0, 0.646058, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2666.0, 0.646058, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2676.0, 0.646058, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2782.0, 0.633634, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2787.0, 0.633634, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
2984.0, 0.633634, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
3032.0, 0.633634, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
3040.0, 0.633634, 0.283871, 0.855143, 0.335877, 0.855143, 0.838216, 0.401042, 
3042.0, 0.620153, 0.141935, 0.855143, 0.293893, 0.855143, 0.838216, 0.200521, 
3067.0, 0.620153, 0.141935, 0.855143, 0.293893, 0.855143, 0.838216, 0.200521, 
3079.0, 0.620153, 0.141935, 0.855143, 0.293893, 0.855143, 0.838216, 0.200521, 
3101.0, 0.620153, 0.141935, 0.855143, 0.293893, 0.855143, 0.838216, 0.200521, 
3144.0, 0.620153, 0.141935, 0.855143, 0.293893, 0.855143, 0.838216, 0.200521, 
3152.0, 0.620153, 0.141935, 0.855143, 0.293893, 0.855143, 0.838216, 0.200521, 
3154.0, 0.605027, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3180.0, 0.605027, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3182.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3185.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3199.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3228.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3297.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3328.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3330.0, 0.589513, 0.141935, 0.820937, 0.293893, 0.820937, 0.798301, 0.200521, 
3338.0, 0.571091, 0.141935, 0.820937, 0.235114, 0.820937, 0.798301, 0.200521, 
3383.0, 0.571091, 0.141935, 0.820937, 0.235114, 0.820937, 0.798301, 0.200521, 
3384.0, 0.571091, 0.141935, 0.820937, 0.235114, 0.820937, 0.798301, 0.200521, 
3385.0, 0.571091, 0.141935, 0.820937, 0.235114, 0.820937, 0.798301, 0.200521, 
3388.0, 0.571091, 0.141935, 0.820937, 0.235114, 0.820937, 0.798301, 0.200521, 
3402.0, 0.571091, 0.141935, 0.820937, 0.235114, 0.820937, 0.798301, 0.200521, 
3458.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3459.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3476.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3523.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3667.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3695.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3776.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3830.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3856.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3872.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3909.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
3968.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4001.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4103.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4119.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4124.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4207.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4310.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4390.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4479.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4492.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4688.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
4926.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 
5565.0, 0.549126, 0.141935, 0.772647, 0.235114, 0.772647, 0.736893, 0.200521, 

