((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.675, 0.7277775>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (12.0, 33.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (37.5, 43.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (36.375, 37.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (37.5, 43.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (22.5, 23.0>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.7694445, 0.836111>) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (8.5, 11.5>) -> (BECK, (12.0, 33.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (8.5, 11.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (0.5, inf)) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (-inf, 8.2>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.1277775, 0.27222250000000003>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (-inf, 0.1277775>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (37.5, 43.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (0.5, inf)) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.7694445, 0.836111>) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
