((hgb, (hgb, (-inf, 142.5>) -> (hgb, (-inf, 142.5>)) AND (age, (age, (18.75, 43.45>) -> (age, (66.95, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (152.5, 160.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((age, (age, (18.75, 43.45>) -> (age, (60.05, 62.5>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (-inf, 142.5>)) AND (age, (age, (18.75, 43.45>) -> (age, (66.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)))
((age, (age, (18.75, 43.45>) -> (age, (60.05, 62.5>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (164.0, 183.0>) -> (hgb, (-inf, 142.5>)) AND (age, (age, (18.75, 43.45>) -> (age, (66.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((age, (age, (43.45, 47.349999999999994>) -> (age, (60.05, 62.5>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (60.05, 62.5>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (-inf, 142.5>)) AND (age, (age, (18.75, 43.45>) -> (age, (66.95, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)))
((age, (age, (47.349999999999994, 52.75>) -> (age, (60.05, 62.5>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (60.05, 62.5>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (62.5, 66.95>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (152.5, 160.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (56.150000000000006, 59.15>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (62.5, 66.95>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (152.5, 160.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (52.75, 56.150000000000006>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (160.5, 162.0>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (-inf, 142.5>)) AND (age, (age, (18.75, 43.45>) -> (age, (66.95, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (43.45, 47.349999999999994>) -> (age, (60.05, 62.5>)))
((hgb, (hgb, (142.5, 152.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (62.5, 66.95>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (152.5, 160.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (60.05, 62.5>) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (-inf, 142.5>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
((hgb, (hgb, (164.0, 183.0>) -> (hgb, (142.5, 152.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 43.45>)))
