((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (5.5, 13.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (50.0, 59.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (50.0, 59.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (132.5, 605.0>) -> (estrec, (2.5, 4.5>)))
((pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (1.5, 2.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (5.5, 13.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (13.0, 18.5>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (132.5, 605.0>) -> (estrec, (2.5, 4.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (132.5, 605.0>) -> (estrec, (2.5, 4.5>)))
